Report Number,Date Reported,City,crime_type,Victim Age,Victim Gender,Weapon Used,latitude,longitude,zone_type,crowd_density,severity_score,source,hour,is_night,day_of_week,safety_score,is_safe_route
RPT000404,2024-01-27 05:00:00,Delhi,Snatching,10,Female,Poison,28.686193,77.209816,Commercial,67,3,news_report,5,1,4,3.05,0
RPT000405,2024-02-07 15:00:00,Mumbai,Harassment,66,Male,Blunt Object,19.034786,72.922778,Industrial,64,2,crowdsourced,15,0,6,7.02,1
RPT000406,2024-01-14 17:00:00,Hyderabad,Harassment,38,Female,Blunt Object,17.463507,78.480301,Slum,50,3,news_report,17,0,2,3.7,0
RPT000407,2024-06-18 18:00:00,Kolkata,Assault,39,Male,None,22.546185,88.293805,Park,90,1,news_report,18,0,6,9.22,1
RPT000408,2024-01-22 17:00:00,Bengaluru,Snatching,41,Other,None,13.030766,77.678295,Residential,37,1,news_report,17,0,1,8.1,1
RPT000409,2024-05-24 23:00:00,Mumbai,Theft,57,Other,Blunt Object,19.116054,72.859425,Market,50,5,news_report,23,1,0,1.35,0
RPT000410,2024-05-28 15:00:00,Chennai,Molestation,71,Male,Sharp Object,13.066769,80.324812,Slum,26,5,news_report,15,0,5,2.4,0
RPT000411,2024-06-25 08:00:00,Mumbai,Theft,26,Female,None,19.035643,72.884694,Park,54,2,crowdsourced,8,0,5,8.06,1
RPT000412,2024-06-02 04:00:00,Chennai,Molestation,56,Other,Sharp Object,13.101762,80.263904,Slum,86,3,official_fir,4,1,6,2.84,0
RPT000413,2024-03-03 11:00:00,Mumbai,Theft,12,Female,Blunt Object,19.084777,72.914138,Industrial,28,1,crowdsourced,11,0,0,6.12,1
RPT000414,2024-04-27 21:00:00,Bengaluru,Harassment,61,Male,None,13.029156,77.583648,Market,55,4,crowdsourced,21,1,5,3.28,0
RPT000415,2024-06-09 13:00:00,Mumbai,Burglary,25,Other,Blunt Object,19.07392,72.826192,Market,52,2,news_report,13,0,6,8.48,1
RPT000416,2024-03-18 16:00:00,Mumbai,Harassment,61,Male,None,19.072182,72.862585,Residential,11,4,news_report,16,0,3,5.13,0
RPT000417,2024-02-17 16:00:00,Hyderabad,Molestation,57,Female,None,17.412461,78.434904,Slum,96,5,official_fir,16,0,5,1.89,0
RPT000418,2024-04-09 11:00:00,Kolkata,Burglary,12,Other,Sharp Object,22.605123,88.385599,Industrial,87,3,news_report,11,0,4,3.89,0
RPT000419,2024-05-10 10:00:00,Hyderabad,Harassment,15,Other,Blunt Object,17.567885,78.408419,Residential,57,3,crowdsourced,10,0,6,5.86,0
RPT000420,2024-04-15 07:00:00,Mumbai,Snatching,24,Other,Blunt Object,19.11716,72.91186,Market,26,2,crowdsourced,7,0,4,6.85,1
RPT000421,2024-04-24 16:00:00,Chennai,Burglary,19,Female,Sharp Object,13.124488,80.300133,Market,43,1,news_report,16,0,0,7.29,1
RPT000422,2024-01-11 09:00:00,Delhi,Theft,13,Female,Blunt Object,28.714664,77.273532,Residential,11,4,crowdsourced,9,0,1,3.54,0
RPT000423,2024-01-14 09:00:00,Delhi,Assault,20,Male,Sharp Object,28.563479,77.196532,Industrial,94,4,crowdsourced,9,0,3,5.76,0
RPT000424,2024-02-13 05:00:00,Hyderabad,Molestation,59,Female,Poison,17.422673,78.517562,Park,97,1,crowdsourced,5,1,5,5.8,0
RPT000425,2024-01-18 06:00:00,Mumbai,Harassment,19,Male,Sharp Object,19.048694,72.959869,Market,94,1,news_report,6,0,0,7.22,1
RPT000426,2024-03-27 22:00:00,Kolkata,Burglary,61,Female,Sharp Object,22.536847,88.333405,Industrial,35,1,official_fir,22,1,1,5.01,0
RPT000427,2024-05-25 17:00:00,Chennai,Snatching,11,Female,Poison,12.988839,80.289686,Slum,93,3,official_fir,17,0,4,5.22,0
RPT000428,2024-03-08 03:00:00,Hyderabad,Burglary,53,Male,None,17.445583,78.409277,Park,58,3,news_report,3,1,0,6.42,1
RPT000429,2024-05-15 20:00:00,Mumbai,Harassment,67,Other,Poison,19.116106,72.841267,Market,89,1,news_report,20,1,0,8.06,1
RPT000430,2024-01-02 11:00:00,Mumbai,Burglary,63,Male,Poison,19.086238,72.915994,Commercial,12,2,official_fir,11,0,1,7.85,1
RPT000431,2024-01-05 04:00:00,Chennai,Molestation,25,Other,Sharp Object,13.001056,80.324036,Market,69,1,official_fir,4,1,4,5.79,0
RPT000432,2024-01-11 14:00:00,Bengaluru,Theft,59,Other,None,12.984115,77.635056,Park,41,3,official_fir,14,0,3,5.83,0
RPT000433,2024-02-22 03:00:00,Kolkata,Theft,49,Male,Poison,22.653591,88.341603,Residential,25,5,official_fir,3,1,6,1.86,0
RPT000434,2024-03-18 04:00:00,Mumbai,Theft,18,Male,None,19.073062,72.852449,Park,63,4,official_fir,4,1,1,3.74,0
RPT000435,2024-05-22 14:00:00,Bengaluru,Snatching,65,Male,Sharp Object,12.99247,77.588926,Commercial,60,2,official_fir,14,0,5,6.22,1
RPT000436,2024-01-09 22:00:00,Chennai,Assault,21,Female,Sharp Object,13.011088,80.242673,Industrial,89,4,crowdsourced,22,1,3,2.96,0
RPT000437,2024-06-21 08:00:00,Chennai,Burglary,72,Male,Poison,13.016747,80.293484,Industrial,87,4,crowdsourced,8,0,6,3.99,0
RPT000438,2024-06-18 15:00:00,Mumbai,Molestation,78,Female,None,19.03397,72.915197,Slum,48,2,crowdsourced,15,0,2,6.24,1
RPT000439,2024-02-18 22:00:00,Hyderabad,Burglary,32,Female,Sharp Object,17.353229,78.502084,Slum,68,1,official_fir,22,1,1,4.02,0
RPT000440,2024-06-06 12:00:00,Hyderabad,Harassment,52,Female,Poison,17.379459,78.467288,Slum,99,1,official_fir,12,0,6,6.5,1
RPT000441,2024-03-24 21:00:00,Kolkata,Assault,58,Other,Blunt Object,22.568142,88.403637,Park,53,2,official_fir,21,1,4,6.15,1
RPT000442,2024-03-09 03:00:00,Kolkata,Snatching,46,Male,Poison,22.529871,88.281915,Market,54,2,news_report,3,1,3,4.86,0
RPT000443,2024-04-01 07:00:00,Mumbai,Theft,19,Female,None,19.042443,72.778692,Residential,69,3,crowdsourced,7,0,0,5.21,0
RPT000444,2024-05-26 19:00:00,Delhi,Theft,58,Male,Blunt Object,28.571582,77.179755,Commercial,67,1,news_report,19,0,4,7.06,1
RPT000445,2024-05-08 05:00:00,Kolkata,Snatching,71,Male,Poison,22.60883,88.315436,Slum,45,2,news_report,5,1,0,4.3,0
RPT000446,2024-05-07 17:00:00,Mumbai,Burglary,29,Female,None,19.109942,72.87674,Slum,37,5,crowdsourced,17,0,6,1.64,0
RPT000447,2024-04-21 01:00:00,Delhi,Harassment,34,Other,Blunt Object,28.565413,77.169311,Market,64,4,crowdsourced,1,1,4,2.71,0
RPT000448,2024-01-17 19:00:00,Hyderabad,Snatching,75,Other,Poison,17.424892,78.393733,Market,72,2,news_report,19,0,0,7.74,1
RPT000449,2024-01-29 11:00:00,Chennai,Molestation,49,Male,Sharp Object,13.058612,80.370117,Market,34,5,news_report,11,0,3,4.94,0
RPT000450,2024-03-19 23:00:00,Delhi,Theft,27,Female,Blunt Object,28.588021,77.194087,Residential,21,2,crowdsourced,23,1,2,4.99,0
RPT000451,2024-03-26 06:00:00,Kolkata,Harassment,29,Male,Blunt Object,22.516055,88.372769,Slum,10,2,official_fir,6,0,3,3.4,0
RPT000452,2024-06-27 05:00:00,Mumbai,Snatching,53,Female,Poison,19.124605,72.942872,Market,43,4,news_report,5,1,2,3.77,0
RPT000453,2024-05-29 10:00:00,Bengaluru,Burglary,13,Other,Sharp Object,12.95726,77.63474,Slum,37,4,news_report,10,0,5,5.73,0
RPT000454,2024-03-14 09:00:00,Kolkata,Snatching,10,Other,Blunt Object,22.554745,88.351666,Park,14,4,news_report,9,0,5,4.15,0
RPT000455,2024-06-27 12:00:00,Hyderabad,Burglary,50,Other,Poison,17.464748,78.546803,Park,43,2,news_report,12,0,1,6.76,1
RPT000456,2024-01-07 02:00:00,Hyderabad,Burglary,59,Male,None,17.465327,78.441822,Residential,12,2,official_fir,2,1,4,5.91,0
RPT000457,2024-01-21 12:00:00,Chennai,Snatching,61,Female,Poison,13.026691,80.217946,Commercial,83,1,official_fir,12,0,2,7.1,1
RPT000458,2024-04-08 13:00:00,Hyderabad,Burglary,44,Other,Sharp Object,17.353499,78.523298,Park,98,5,news_report,13,0,4,3.41,0
RPT000459,2024-02-08 19:00:00,Delhi,Harassment,31,Other,Poison,28.561639,77.122941,Residential,69,2,crowdsourced,19,0,6,4.99,0
RPT000460,2024-04-26 02:00:00,Chennai,Molestation,22,Female,Blunt Object,13.116768,80.213015,Slum,49,5,official_fir,2,1,4,2.3,0
RPT000461,2024-05-19 15:00:00,Mumbai,Harassment,75,Female,Blunt Object,19.083368,72.893913,Park,66,2,news_report,15,0,0,8.22,1
RPT000462,2024-02-02 16:00:00,Delhi,Harassment,79,Female,None,28.552211,77.200763,Market,93,1,official_fir,16,0,4,9.46,1
RPT000463,2024-06-24 09:00:00,Hyderabad,Assault,47,Female,Blunt Object,17.384864,78.456097,Commercial,73,2,official_fir,9,0,2,6.63,1
RPT000464,2024-05-27 04:00:00,Kolkata,Burglary,44,Female,Sharp Object,22.547581,88.385825,Industrial,22,1,official_fir,4,1,6,5.53,0
RPT000465,2024-03-04 18:00:00,Chennai,Burglary,78,Other,Sharp Object,13.073596,80.250388,Industrial,62,2,official_fir,18,0,0,5.36,0
RPT000466,2024-03-06 00:00:00,Chennai,Molestation,12,Male,Sharp Object,13.071559,80.282815,Residential,67,3,official_fir,0,1,4,1.99,0
RPT000467,2024-02-12 00:00:00,Bengaluru,Harassment,74,Other,Poison,12.918976,77.608228,Residential,40,4,official_fir,0,1,0,2.19,0
RPT000468,2024-02-18 09:00:00,Hyderabad,Assault,73,Female,Blunt Object,17.316823,78.507667,Slum,11,2,news_report,9,0,1,5.75,0
RPT000469,2024-02-16 02:00:00,Hyderabad,Theft,35,Male,None,17.287522,78.538647,Residential,25,1,crowdsourced,2,1,3,8.08,1
RPT000470,2024-04-06 05:00:00,Chennai,Theft,75,Female,Poison,12.993642,80.159177,Market,99,2,news_report,5,1,5,4.43,0
RPT000471,2024-04-02 17:00:00,Chennai,Harassment,72,Male,Sharp Object,13.109321,80.210934,Park,17,2,news_report,17,0,0,7.67,1
RPT000472,2024-01-14 15:00:00,Delhi,Theft,45,Male,None,28.623923,77.193042,Commercial,95,1,crowdsourced,15,0,5,7.95,1
RPT000473,2024-02-11 09:00:00,Chennai,Harassment,38,Other,Blunt Object,13.053034,80.212844,Residential,81,5,crowdsourced,9,0,6,0.86,0
RPT000474,2024-03-06 19:00:00,Kolkata,Assault,34,Male,Blunt Object,22.621812,88.309018,Residential,10,2,news_report,19,0,0,8.37,1
RPT000475,2024-04-25 00:00:00,Mumbai,Molestation,31,Male,Sharp Object,19.138162,72.91999,Park,74,1,crowdsourced,0,1,4,6.57,1
RPT000476,2024-05-23 12:00:00,Chennai,Burglary,64,Other,Sharp Object,13.022974,80.28499,Market,73,4,crowdsourced,12,0,0,4.13,0
RPT000477,2024-04-12 17:00:00,Delhi,Assault,77,Other,Blunt Object,28.575651,77.260269,Residential,22,2,official_fir,17,0,1,5.92,0
RPT000478,2024-06-08 15:00:00,Delhi,Harassment,48,Other,Sharp Object,28.657325,77.111215,Slum,35,1,crowdsourced,15,0,6,6.94,1
RPT000479,2024-03-20 22:00:00,Kolkata,Molestation,10,Other,Sharp Object,22.509314,88.459483,Market,63,4,crowdsourced,22,1,0,3.04,0
RPT000480,2024-03-06 17:00:00,Mumbai,Harassment,31,Other,Blunt Object,19.026957,72.879356,Park,62,4,crowdsourced,17,0,1,3.26,0
RPT000481,2024-05-21 19:00:00,Chennai,Molestation,40,Other,Blunt Object,13.037872,80.257662,Market,58,5,news_report,19,0,5,1.18,0
RPT000482,2024-01-12 17:00:00,Bengaluru,Assault,60,Female,Poison,12.918397,77.630685,Slum,92,3,crowdsourced,17,0,3,2.44,0
RPT000483,2024-05-25 03:00:00,Bengaluru,Assault,52,Male,Blunt Object,13.06886,77.550325,Commercial,18,1,crowdsourced,3,1,3,6.78,1
RPT000484,2024-01-20 16:00:00,Delhi,Burglary,51,Male,Poison,28.591498,77.158765,Commercial,13,2,news_report,16,0,3,7.29,1
RPT000485,2024-02-01 12:00:00,Mumbai,Snatching,61,Male,Sharp Object,19.083898,72.870056,Park,14,5,official_fir,12,0,0,2.11,0
RPT000486,2024-06-27 01:00:00,Delhi,Molestation,38,Other,None,28.584079,77.194041,Slum,39,1,news_report,1,1,5,6.88,1
RPT000487,2024-03-14 09:00:00,Chennai,Molestation,56,Female,Sharp Object,12.950524,80.290917,Industrial,86,5,news_report,9,0,3,1.23,0
RPT000488,2024-02-18 23:00:00,Bengaluru,Burglary,79,Female,Poison,13.036537,77.558852,Residential,22,3,news_report,23,1,4,3.04,0
RPT000489,2024-04-23 20:00:00,Mumbai,Harassment,27,Male,Sharp Object,18.995688,72.907288,Park,55,4,news_report,20,1,2,3.51,0
RPT000490,2024-06-03 04:00:00,Bengaluru,Assault,66,Other,Blunt Object,12.927814,77.652022,Residential,29,1,official_fir,4,1,2,5.95,0
RPT000491,2024-04-06 04:00:00,Mumbai,Assault,51,Male,Poison,19.096764,72.92861,Park,50,1,official_fir,4,1,2,3.68,0
RPT000492,2024-04-26 10:00:00,Mumbai,Assault,78,Male,None,19.051489,72.824453,Commercial,31,5,crowdsourced,10,0,6,3.81,0
RPT000493,2024-06-14 13:00:00,Hyderabad,Snatching,35,Male,Blunt Object,17.372206,78.499646,Market,11,1,news_report,13,0,1,8.22,1
RPT000494,2024-06-24 11:00:00,Mumbai,Molestation,26,Other,None,19.107866,72.958515,Commercial,67,2,official_fir,11,0,2,7.71,1
RPT000495,2024-02-03 01:00:00,Mumbai,Assault,64,Other,Blunt Object,19.089431,72.874042,Park,11,1,crowdsourced,1,1,2,7.45,1
RPT000496,2024-05-18 06:00:00,Bengaluru,Harassment,79,Other,Sharp Object,12.928792,77.596378,Slum,28,3,news_report,6,0,0,4.6,0
RPT000497,2024-06-24 04:00:00,Delhi,Harassment,72,Male,None,28.561145,77.255563,Park,86,1,news_report,4,1,4,7.67,1
RPT000498,2024-01-02 09:00:00,Bengaluru,Assault,55,Male,Poison,12.979195,77.59511,Market,24,4,official_fir,9,0,0,3.88,0
RPT000499,2024-03-30 02:00:00,Mumbai,Assault,38,Other,None,19.088155,72.925265,Market,34,1,crowdsourced,2,1,5,7.99,1
RPT000500,2024-05-10 16:00:00,Mumbai,Snatching,74,Male,Poison,19.140269,72.846421,Industrial,79,4,crowdsourced,16,0,6,2.33,0
RPT000501,2024-06-07 16:00:00,Kolkata,Burglary,39,Male,Blunt Object,22.636999,88.336402,Commercial,20,5,official_fir,16,0,1,3.41,0
RPT000502,2024-05-12 02:00:00,Delhi,Harassment,69,Other,Poison,28.579948,77.132375,Slum,11,1,official_fir,2,1,1,6.7,1
RPT000503,2024-03-07 08:00:00,Kolkata,Theft,47,Female,Blunt Object,22.5985,88.26225,Industrial,41,2,news_report,8,0,0,8.3,1
RPT000504,2024-06-23 04:00:00,Delhi,Harassment,21,Male,Blunt Object,28.670491,77.214743,Residential,44,4,news_report,4,1,1,1.39,0
RPT000505,2024-02-08 12:00:00,Hyderabad,Burglary,42,Female,Sharp Object,17.420075,78.331716,Park,25,2,crowdsourced,12,0,1,6.48,1
RPT000506,2024-02-18 04:00:00,Delhi,Snatching,59,Male,Sharp Object,28.643134,77.190489,Residential,24,4,crowdsourced,4,1,5,4.07,0
RPT000507,2024-03-19 20:00:00,Mumbai,Molestation,64,Other,Sharp Object,19.038132,72.890759,Industrial,91,5,official_fir,20,1,5,2.11,0
RPT000508,2024-02-02 23:00:00,Delhi,Assault,23,Male,Sharp Object,28.503191,77.188654,Market,28,5,official_fir,23,1,4,1.15,0
RPT000509,2024-03-28 03:00:00,Mumbai,Burglary,26,Other,Poison,19.129759,72.911691,Market,43,4,crowdsourced,3,1,1,2.91,0
RPT000510,2024-02-01 20:00:00,Chennai,Theft,16,Other,None,13.093682,80.25517,Market,21,3,crowdsourced,20,1,1,3.99,0
RPT000511,2024-02-24 06:00:00,Delhi,Snatching,75,Male,Sharp Object,28.567418,77.119414,Commercial,70,3,news_report,6,0,0,4.68,0
RPT000512,2024-01-24 09:00:00,Delhi,Snatching,23,Female,None,28.560589,77.32795,Market,40,3,official_fir,9,0,0,4.42,0
RPT000513,2024-04-15 02:00:00,Chennai,Harassment,41,Female,None,13.088424,80.349371,Industrial,46,2,crowdsourced,2,1,3,6.7,1
RPT000514,2024-05-11 10:00:00,Hyderabad,Molestation,28,Other,Poison,17.414393,78.517687,Residential,46,5,news_report,10,0,1,3.52,0
RPT000515,2024-02-19 22:00:00,Hyderabad,Assault,37,Female,Poison,17.309343,78.496043,Commercial,20,5,news_report,22,1,5,2.39,0
RPT000516,2024-05-17 13:00:00,Hyderabad,Harassment,20,Other,Sharp Object,17.501901,78.474902,Park,76,5,official_fir,13,0,3,1.21,0
RPT000517,2024-04-10 18:00:00,Bengaluru,Assault,32,Male,Blunt Object,13.002865,77.635425,Park,87,1,crowdsourced,18,0,2,6.92,1
RPT000518,2024-05-14 01:00:00,Chennai,Harassment,15,Female,None,13.055988,80.278246,Residential,21,4,crowdsourced,1,1,1,4.05,0
RPT000519,2024-01-24 14:00:00,Hyderabad,Harassment,15,Other,None,17.474755,78.515907,Commercial,33,2,official_fir,14,0,2,7.88,1
RPT000520,2024-01-24 09:00:00,Delhi,Theft,43,Other,None,28.619952,77.233829,Industrial,44,4,crowdsourced,9,0,3,2.77,0
RPT000521,2024-01-07 04:00:00,Mumbai,Molestation,14,Male,Blunt Object,19.067221,72.894423,Industrial,39,2,crowdsourced,4,1,1,5.89,0
RPT000522,2024-04-20 06:00:00,Kolkata,Burglary,62,Female,None,22.549347,88.423493,Park,91,4,crowdsourced,6,0,5,4.4,0
RPT000523,2024-01-25 08:00:00,Mumbai,Theft,43,Female,Poison,19.118829,72.827032,Industrial,18,3,news_report,8,0,4,3.38,0
RPT000524,2024-01-22 13:00:00,Kolkata,Harassment,72,Other,Poison,22.578643,88.32046,Park,94,3,official_fir,13,0,0,4.39,0
RPT000525,2024-04-20 01:00:00,Bengaluru,Assault,63,Female,Poison,13.022907,77.58623,Residential,49,4,crowdsourced,1,1,0,1.35,0
RPT000526,2024-02-02 07:00:00,Mumbai,Molestation,64,Male,None,19.137765,72.869003,Park,15,4,official_fir,7,0,4,6.58,1
RPT000527,2024-02-23 06:00:00,Hyderabad,Burglary,17,Male,None,17.403269,78.539639,Industrial,18,3,news_report,6,0,6,6.42,1
RPT000528,2024-02-23 10:00:00,Kolkata,Burglary,64,Female,Sharp Object,22.518751,88.415694,Industrial,55,3,official_fir,10,0,2,4.3,0
RPT000529,2024-04-22 00:00:00,Chennai,Molestation,26,Male,Poison,13.148136,80.197098,Market,61,5,crowdsourced,0,1,3,0.02,0
RPT000530,2024-05-18 14:00:00,Chennai,Theft,19,Female,Sharp Object,12.990791,80.301404,Residential,22,1,crowdsourced,14,0,5,9.5,1
RPT000531,2024-02-25 13:00:00,Kolkata,Snatching,20,Female,None,22.539747,88.346153,Park,48,5,news_report,13,0,6,4.02,0
RPT000532,2024-03-15 03:00:00,Delhi,Burglary,21,Other,Blunt Object,28.605283,77.140997,Park,40,3,official_fir,3,1,3,3.83,0
RPT000533,2024-06-07 01:00:00,Delhi,Burglary,64,Other,Sharp Object,28.597567,77.229763,Slum,33,4,crowdsourced,1,1,4,1.34,0
RPT000534,2024-05-01 12:00:00,Chennai,Snatching,29,Female,Sharp Object,13.122117,80.238846,Commercial,82,3,crowdsourced,12,0,6,5.31,0
RPT000535,2024-03-21 00:00:00,Bengaluru,Burglary,76,Female,Blunt Object,12.998522,77.646753,Commercial,95,1,official_fir,0,1,5,7.21,1
RPT000536,2024-04-29 17:00:00,Mumbai,Harassment,17,Other,Sharp Object,19.173924,72.786772,Industrial,73,3,news_report,17,0,3,4.78,0
RPT000537,2024-01-06 06:00:00,Hyderabad,Molestation,40,Other,Blunt Object,17.400118,78.403107,Slum,48,2,crowdsourced,6,0,1,4.4,0
RPT000538,2024-04-01 10:00:00,Mumbai,Snatching,71,Male,None,19.122671,72.789653,Slum,99,4,news_report,10,0,1,3.25,0
RPT000539,2024-02-06 13:00:00,Hyderabad,Snatching,67,Other,Blunt Object,17.436858,78.573819,Market,55,3,official_fir,13,0,6,6.9,1
RPT000540,2024-02-13 02:00:00,Mumbai,Molestation,43,Female,Poison,18.990513,72.84985,Industrial,71,1,crowdsourced,2,1,2,5.97,0
RPT000541,2024-05-02 05:00:00,Kolkata,Theft,68,Female,Poison,22.555304,88.458702,Slum,72,2,official_fir,5,1,5,3.76,0
RPT000542,2024-05-25 17:00:00,Delhi,Theft,26,Female,Sharp Object,28.633912,77.219083,Commercial,49,3,official_fir,17,0,4,4.87,0
RPT000543,2024-02-06 03:00:00,Kolkata,Snatching,21,Male,None,22.502388,88.302219,Market,64,1,crowdsourced,3,1,4,5.26,0
RPT000544,2024-03-28 12:00:00,Kolkata,Assault,33,Other,Blunt Object,22.559719,88.360418,Park,44,4,crowdsourced,12,0,6,4.38,0
RPT000545,2024-03-15 01:00:00,Delhi,Theft,71,Male,Poison,28.602908,77.228632,Industrial,24,1,official_fir,1,1,6,7.01,1
RPT000546,2024-06-05 01:00:00,Chennai,Theft,46,Male,Blunt Object,13.053995,80.297521,Park,28,5,crowdsourced,1,1,0,2.52,0
RPT000547,2024-06-01 06:00:00,Bengaluru,Assault,79,Male,Blunt Object,12.912766,77.708391,Commercial,70,4,news_report,6,0,0,2.65,0
RPT000548,2024-05-24 19:00:00,Delhi,Assault,19,Other,Blunt Object,28.620768,77.354909,Slum,86,5,crowdsourced,19,0,2,1.93,0
RPT000549,2024-04-27 19:00:00,Hyderabad,Snatching,11,Other,None,17.433681,78.448394,Commercial,13,4,news_report,19,0,4,3.94,0
RPT000550,2024-01-08 15:00:00,Chennai,Molestation,42,Female,Sharp Object,13.144008,80.231353,Park,90,5,news_report,15,0,5,1.9,0
RPT000551,2024-04-30 12:00:00,Bengaluru,Assault,31,Female,Blunt Object,12.989976,77.576153,Residential,22,1,crowdsourced,12,0,2,7.79,1
RPT000552,2024-03-27 10:00:00,Hyderabad,Snatching,57,Other,None,17.340487,78.410579,Park,37,4,crowdsourced,10,0,0,6.73,1
RPT000553,2024-03-05 04:00:00,Kolkata,Assault,79,Other,Poison,22.472065,88.369078,Residential,67,1,crowdsourced,4,1,5,4.65,0
RPT000554,2024-06-18 03:00:00,Hyderabad,Snatching,60,Female,Blunt Object,17.48833,78.506012,Market,74,4,news_report,3,1,1,3.06,0
RPT000555,2024-01-10 22:00:00,Mumbai,Molestation,40,Male,Blunt Object,19.123897,72.840946,Industrial,50,2,crowdsourced,22,1,4,6.77,1
RPT000556,2024-05-22 05:00:00,Kolkata,Harassment,40,Female,Poison,22.517762,88.399556,Residential,24,5,news_report,5,1,6,1.59,0
RPT000557,2024-04-29 00:00:00,Mumbai,Assault,52,Female,Poison,19.122972,72.776003,Market,51,5,official_fir,0,1,1,0.11,0
RPT000558,2024-01-24 00:00:00,Delhi,Theft,30,Other,Sharp Object,28.591747,77.270022,Market,29,2,crowdsourced,0,1,5,5.57,0
RPT000559,2024-02-23 04:00:00,Chennai,Burglary,74,Male,Poison,13.143811,80.288749,Residential,44,3,crowdsourced,4,1,0,2.35,0
RPT000560,2024-05-01 09:00:00,Mumbai,Molestation,19,Other,None,19.106491,72.773718,Market,85,2,news_report,9,0,1,5.53,0
RPT000561,2024-04-09 19:00:00,Mumbai,Molestation,18,Female,None,19.144169,72.907617,Market,58,1,crowdsourced,19,0,4,6.5,1
RPT000562,2024-05-04 18:00:00,Kolkata,Molestation,52,Other,Blunt Object,22.610824,88.314877,Market,92,5,crowdsourced,18,0,4,2.39,0
RPT000563,2024-02-06 09:00:00,Delhi,Theft,42,Female,None,28.638313,77.278985,Park,69,2,official_fir,9,0,3,7.28,1
RPT000564,2024-05-16 06:00:00,Kolkata,Theft,75,Male,None,22.52946,88.391863,Residential,82,4,official_fir,6,0,4,4.93,0
RPT000565,2024-05-04 08:00:00,Kolkata,Snatching,65,Other,Sharp Object,22.58974,88.334865,Slum,15,2,official_fir,8,0,3,5.79,0
RPT000566,2024-02-20 14:00:00,Delhi,Theft,40,Female,Blunt Object,28.694787,77.286997,Market,67,4,crowdsourced,14,0,1,3.63,0
RPT000567,2024-03-01 14:00:00,Hyderabad,Assault,19,Female,Poison,17.292771,78.470226,Industrial,10,5,crowdsourced,14,0,3,4.57,0
RPT000568,2024-04-22 04:00:00,Kolkata,Assault,70,Female,None,22.592998,88.381651,Park,74,5,crowdsourced,4,1,6,1.63,0
RPT000569,2024-01-30 17:00:00,Mumbai,Harassment,73,Other,Blunt Object,19.061368,72.868188,Slum,19,5,crowdsourced,17,0,4,0.31,0
RPT000570,2024-02-03 02:00:00,Delhi,Assault,46,Male,Sharp Object,28.666475,77.237468,Park,63,2,crowdsourced,2,1,0,5.51,0
RPT000571,2024-05-20 20:00:00,Bengaluru,Assault,11,Female,None,12.999241,77.632246,Industrial,25,4,crowdsourced,20,1,1,4.77,0
RPT000572,2024-03-10 19:00:00,Chennai,Theft,28,Other,None,13.105862,80.261289,Residential,20,5,official_fir,19,0,3,2.47,0
RPT000573,2024-06-01 15:00:00,Hyderabad,Snatching,28,Male,Poison,17.276102,78.475978,Slum,79,5,official_fir,15,0,5,2.33,0
RPT000574,2024-03-13 14:00:00,Bengaluru,Burglary,28,Other,None,12.940147,77.604437,Industrial,50,4,official_fir,14,0,4,3.56,0
RPT000575,2024-06-04 21:00:00,Kolkata,Theft,41,Female,None,22.518005,88.339237,Residential,50,2,news_report,21,1,1,4.49,0
RPT000576,2024-01-29 16:00:00,Chennai,Molestation,19,Other,Poison,13.047228,80.30293,Market,47,4,crowdsourced,16,0,2,0.66,0
RPT000577,2024-05-15 18:00:00,Mumbai,Snatching,63,Other,None,19.114899,72.902796,Industrial,67,2,news_report,18,0,3,7.59,1
RPT000578,2024-06-28 19:00:00,Bengaluru,Harassment,18,Female,None,13.005997,77.563951,Commercial,85,5,official_fir,19,0,2,1.91,0
RPT000579,2024-03-13 12:00:00,Kolkata,Burglary,53,Other,Blunt Object,22.648761,88.374661,Park,93,4,official_fir,12,0,4,4.04,0
RPT000580,2024-02-27 20:00:00,Kolkata,Assault,48,Female,Poison,22.639501,88.414279,Residential,86,5,news_report,20,1,1,0.0,0
RPT000581,2024-02-12 14:00:00,Delhi,Molestation,24,Male,Blunt Object,28.612838,77.228467,Market,71,5,news_report,14,0,1,3.12,0
RPT000582,2024-04-01 00:00:00,Kolkata,Theft,58,Other,None,22.603584,88.257358,Residential,58,3,news_report,0,1,5,4.95,0
RPT000583,2024-06-05 11:00:00,Hyderabad,Theft,71,Other,Poison,17.406417,78.517254,Park,55,1,news_report,11,0,2,7.54,1
RPT000584,2024-03-01 08:00:00,Hyderabad,Snatching,75,Female,Sharp Object,17.410589,78.517636,Slum,81,1,news_report,8,0,1,7.04,1
RPT000585,2024-03-22 14:00:00,Delhi,Theft,70,Other,Blunt Object,28.610074,77.183714,Market,12,4,news_report,14,0,0,5.26,0
RPT000586,2024-04-28 23:00:00,Bengaluru,Snatching,66,Other,Poison,13.015454,77.622724,Slum,14,3,crowdsourced,23,1,4,4.26,0
RPT000587,2024-01-13 15:00:00,Kolkata,Snatching,50,Other,None,22.549689,88.306632,Industrial,32,3,crowdsourced,15,0,0,6.88,1
RPT000588,2024-06-12 10:00:00,Kolkata,Assault,72,Other,Blunt Object,22.610113,88.321415,Commercial,49,5,official_fir,10,0,3,2.48,0
